equipment_id,functional_location,equipment_type,equipment_category,manufacturer,model_number,serial_number,installation_date,warranty_expiry,maintenance_cycle,criticality,replacement_cost,maintenance_cost_budget,last_major_overhaul,technical_status
EQ-PP-FLC-0000,PLANT-PP-FLC-00,FLC,PP-FLC,ABB,MDL-6613,SN-98187,2020-11-30 22:03:37.795343,2023-06-26 22:03:37.795343,34,B,6701.9199496447945,5953.325479036742,,ACTIVE
EQ-PP-FLC-0001,PLANT-PP-FLC-01,FLC,PP-FLC,Siemens,MDL-7125,SN-63218,2022-06-10 22:03:37.795677,2026-02-24 22:03:37.795677,30,C,6292.784396966724,6099.241692464561,,ACTIVE
EQ-PP-RTG-0000,PLANT-PP-RTG-00,RTG,PP-RTG,Siemens,MDL-8512,SN-22755,2021-12-14 22:03:37.795838,2026-12-01 22:03:37.795838,16,C,10706.915873402315,12586.403143366766,,ACTIVE
EQ-PP-RTG-0001,PLANT-PP-RTG-01,RTG,PP-RTG,ABB,MDL-9358,SN-56078,2022-05-29 22:03:37.795965,2024-10-17 22:03:37.795965,24,B,9831.913867521154,9757.026878247609,,ACTIVE
EQ-PP-QC-0000,PLANT-PP-QC-00,QC,PP-QC,ABB,MDL-1888,SN-34650,2022-02-05 22:03:37.796114,2025-02-25 22:03:37.796114,33,A,14357.309725675057,15480.144557812044,,ACTIVE
EQ-PP-QC-0001,PLANT-PP-QC-01,QC,PP-QC,Siemens,MDL-9903,SN-27901,2022-12-19 22:03:37.796232,2026-02-17 22:03:37.796232,28,B,10936.95441865168,9539.079334014785,,ACTIVE
EQ-PP-RS-0000,PLANT-PP-RS-00,RS,PP-RS,Mitsubishi,MDL-5562,SN-14342,2022-07-09 22:03:37.796452,2027-07-01 22:03:37.796452,39,B,6732.782404729499,6454.5579400317,,ACTIVE
EQ-PP-RS-0001,PLANT-PP-RS-01,RS,PP-RS,GE,MDL-9477,SN-86027,2023-09-30 22:03:37.796991,2026-02-05 22:03:37.796991,38,C,8931.408533620603,7508.168480253509,,ACTIVE
EQ-PP-TT-0000,PLANT-PP-TT-00,TT,PP-TT,Siemens,MDL-3438,SN-45529,2021-06-02 22:03:37.797137,2026-04-07 22:03:37.797137,24,B,6764.649813015605,7124.87992047944,,ACTIVE
EQ-PP-TT-0001,PLANT-PP-TT-01,TT,PP-TT,Schneider,MDL-1738,SN-64193,2022-12-27 22:03:37.797269,2025-05-21 22:03:37.797269,17,C,5453.588042192415,5755.412463951156,,ACTIVE
